Gene_name,Pathway,E18_Vs_LU3,E18_Vs_LU4,LI1_Vs_LU3,LI1_Vs_LU4,LI2_Vs_LU3,LI2_Vs_LU4,LI3_Vs_LU3,LI3_Vs_LU4,cLTMR1,cLTMR2,NF1,NF2,NF3,NP,PEP1,PEP2,SST,Z.2days,Z.4days,Z.7days,Z.12days,NRGcs_2d,T5RGCs_2d,TRGCs_2d,Cartpt_2d,Alpha_RGCS_7D,Cartpt_RGCS_7D,F_RGCS_7d,T_RGCS_7d,ipRGCs_7D,T5_RGCS_7d
Dcx,neurogenesis,1.695926658,1.595208294,0,0,0,0,0,0,0,0.453852996,0,0,0,-0.150816075,-0.308078575,-0.201081668,-0.240543682,,,,,0,0,0,0,0,0,0,0,0,0
Dcx,neuron differentiation,1.695926658,1.595208294,0,0,0,0,0,0,0,0.453852996,0,0,0,-0.150816075,-0.308078575,-0.201081668,-0.240543682,,,,,0,0,0,0,0,0,0,0,0,0
Dcx,neuron projection development,1.695926658,1.595208294,0,0,0,0,0,0,0,0.453852996,0,0,0,-0.150816075,-0.308078575,-0.201081668,-0.240543682,,,,,0,0,0,0,0,0,0,0,0,0
Dcx,central nervous system neuron differentiation,1.695926658,1.595208294,0,0,0,0,0,0,0,0.453852996,0,0,0,-0.150816075,-0.308078575,-0.201081668,-0.240543682,,,,,0,0,0,0,0,0,0,0,0,0
Dcx,neuron development,1.695926658,1.595208294,0,0,0,0,0,0,0,0.453852996,0,0,0,-0.150816075,-0.308078575,-0.201081668,-0.240543682,,,,,0,0,0,0,0,0,0,0,0,0
Dpysl3,nervous system development,2.50522431,2.507120899,0,0,0,0,0,0,0.393684158,0.915230321,-0.0396878,0.492981883,0.008526801,0.171548899,0.280628363,0.752944394,0.271744619,-0.247117182,0.32883927,0.696704704,0.442557487,0,0,0,0,0,-0.312723979,0,-0.354258509,0,0
Dpysl3,neurogenesis,2.50522431,2.507120899,0,0,0,0,0,0,0.393684158,0.915230321,-0.0396878,0.492981883,0.008526801,0.171548899,0.280628363,0.752944394,0.271744619,-0.247117182,0.32883927,0.696704704,0.442557487,0,0,0,0,0,-0.312723979,0,-0.354258509,0,0
Dpysl3,neuron development,2.50522431,2.507120899,0,0,0,0,0,0,0.393684158,0.915230321,-0.0396878,0.492981883,0.008526801,0.171548899,0.280628363,0.752944394,0.271744619,-0.247117182,0.32883927,0.696704704,0.442557487,0,0,0,0,0,-0.312723979,0,-0.354258509,0,0
Dpysl3,generation of neurons,2.50522431,2.507120899,0,0,0,0,0,0,0.393684158,0.915230321,-0.0396878,0.492981883,0.008526801,0.171548899,0.280628363,0.752944394,0.271744619,-0.247117182,0.32883927,0.696704704,0.442557487,0,0,0,0,0,-0.312723979,0,-0.354258509,0,0
Dpysl3,neuron differentiation,2.50522431,2.507120899,0,0,0,0,0,0,0.393684158,0.915230321,-0.0396878,0.492981883,0.008526801,0.171548899,0.280628363,0.752944394,0.271744619,-0.247117182,0.32883927,0.696704704,0.442557487,0,0,0,0,0,-0.312723979,0,-0.354258509,0,0
Dpysl3,regulation of cell migration,2.50522431,2.507120899,0,0,0,0,0,0,0.393684158,0.915230321,-0.0396878,0.492981883,0.008526801,0.171548899,0.280628363,0.752944394,0.271744619,-0.247117182,0.32883927,0.696704704,0.442557487,0,0,0,0,0,-0.312723979,0,-0.354258509,0,0
Dpysl3,Regulation of cellular component movement,2.50522431,2.507120899,0,0,0,0,0,0,0.393684158,0.915230321,-0.0396878,0.492981883,0.008526801,0.171548899,0.280628363,0.752944394,0.271744619,-0.247117182,0.32883927,0.696704704,0.442557487,0,0,0,0,0,-0.312723979,0,-0.354258509,0,0
Dpysl3,neuron projection development,2.50522431,2.507120899,0,0,0,0,0,0,0.393684158,0.915230321,-0.0396878,0.492981883,0.008526801,0.171548899,0.280628363,0.752944394,0.271744619,-0.247117182,0.32883927,0.696704704,0.442557487,0,0,0,0,0,-0.312723979,0,-0.354258509,0,0
Dpysl5,axon development,1.434834831,1.431152981,0,0,0,0,0,0,0.293463311,0.308625546,0.144097627,0.676103108,-0.122464694,0.573412744,0.320687722,0.660918326,0.420757739,0.119382655,1.052869734,1.414498731,1.230769727,0,0,0,0,0,0,0.401137718,0,0,0
Eef1a1,nervous system development,2.292022885,2.395836168,0,0,0,0,0,0,0.793417247,1.523795885,0.58211018,1.283646734,0.642522587,0.66463041,0.771978638,0.966435384,0.657191993,-0.66677551,-0.473919347,-0.344351157,0.106841151,-0.326683427,-0.381376674,-0.493054543,0,-0.383548066,-0.525995362,0,-0.54647743,-0.357242353,-0.452627291
Eef1a1,neuron development,2.292022885,2.395836168,0,0,0,0,0,0,0.793417247,1.523795885,0.58211018,1.283646734,0.642522587,0.66463041,0.771978638,0.966435384,0.657191993,-0.66677551,-0.473919347,-0.344351157,0.106841151,-0.326683427,-0.381376674,-0.493054543,0,-0.383548066,-0.525995362,0,-0.54647743,-0.357242353,-0.452627291
Eef1a1,generation of neurons,2.292022885,2.395836168,0,0,0,0,0,0,0.793417247,1.523795885,0.58211018,1.283646734,0.642522587,0.66463041,0.771978638,0.966435384,0.657191993,-0.66677551,-0.473919347,-0.344351157,0.106841151,-0.326683427,-0.381376674,-0.493054543,0,-0.383548066,-0.525995362,0,-0.54647743,-0.357242353,-0.452627291
Eef1a1,neuron projection development,2.292022885,2.395836168,0,0,0,0,0,0,0.793417247,1.523795885,0.58211018,1.283646734,0.642522587,0.66463041,0.771978638,0.966435384,0.657191993,-0.66677551,-0.473919347,-0.344351157,0.106841151,-0.326683427,-0.381376674,-0.493054543,0,-0.383548066,-0.525995362,0,-0.54647743,-0.357242353,-0.452627291
Eef1a1,neurogenesis,2.292022885,2.395836168,0,0,0,0,0,0,0.793417247,1.523795885,0.58211018,1.283646734,0.642522587,0.66463041,0.771978638,0.966435384,0.657191993,-0.66677551,-0.473919347,-0.344351157,0.106841151,-0.326683427,-0.381376674,-0.493054543,0,-0.383548066,-0.525995362,0,-0.54647743,-0.357242353,-0.452627291
Eef1a1,neuron differentiation,2.292022885,2.395836168,0,0,0,0,0,0,0.793417247,1.523795885,0.58211018,1.283646734,0.642522587,0.66463041,0.771978638,0.966435384,0.657191993,-0.66677551,-0.473919347,-0.344351157,0.106841151,-0.326683427,-0.381376674,-0.493054543,0,-0.383548066,-0.525995362,0,-0.54647743,-0.357242353,-0.452627291
Epha3,axonogenesis,2.176925098,2.131664952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epha3,Regulation of cellular component movement,2.176925098,2.131664952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epha3,nervous system development,2.176925098,2.131664952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epha3,generation of neurons,2.176925098,2.131664952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epha3,neuron development,2.176925098,2.131664952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
